Dokumen,Topik 1,Topik 2,Topik 3,Label
jakarta kompascom sultan rifat alfatih korban jeratan kabel fiber optik menjuntai jalan pangeran antasari melanjutkan studinya universitas brawijaya malang jawa timurrencananya januari sultan malang mengurus persiapan kuliahnya mengenyam pendidikan ayah sultan fatih nh dihubungi rabu baca wali kota jaksel berkacakaca dengar sultan korban kabel menjuntai bicara lagifatih menyebut kondisi sultan membaik berkuliahsultan diperbolehkan pulang rumah sakit polri kramat jati jakarta timur perawatan intensif bulandalam periode mahasiswa berusia menjalani operasisalah satunya pengangkatan pita suara sultan mengonsumsi jenis makananalhamdulillah kondisinya membaik makan minum kondisinya menunjang melanjutkan pendidikannya fatihbaca sultan korban jeratan fiber optik kehilangan indra penciuman operasi pengangkatan pita suaraselain sultan berkomunikasi orang sekitarnyadengan alat bantu bernama elektrolaring gerakan mulutnya dikonversikan suaramaka kesulitan berkomunikasi dosennya kegiatan belajar mengajar dilakukanelektrolaring alat canggih sultan dibantu alat bicara harapan pakai terapi berbicara napas perut mudahmudahan berkomunikasi alat bantu fatihfatih menemani sultan beradaptasi ulangpasalnya kondisinya berbedapasti bantu dirasa aman jakarta kuliah februari melanjutkan perkuliahannya semester enam imbuh fatihbaca laporkan jeratan kabel ayah sultan rifat harap diselesaikan kekeluargaankronologi kecelakaan sultankronologi kecelakaan sultan peristiwa menimpa sultan jalan pangeran antasari jakarta selatan januari,0.9397993216936439,0.03073771618275519,0.029462962123600934,megapolitan
jakarta kompascom ketua komisi pemberantasan korupsi kpk nonaktif firli bahuri aktivitas ditetapkan tersangka dugaan pemerasan eks menteri pertanian syahrul yasin limpo syl aktivitas beliau dihabiskan menyantuni rumah yatim piatu kuasa hukum firli ian iskandar pengadilan negeri jakarta selatan rabu ian mengungkap rumah yatim disantuni kliennya diekspos sebelumnyabaca firli bahuri hadiri peringatan antikorupsi sedunia alasannya enak badan flu ian panti asuhan santunan firli rumah yatim piatu penyantunnya firli menghabiskan berolahragabaca kuasa hukum firli bahuri hadiri sidang gugatan praperadilan berolagraga memantau persidangan gugatan praperadilan diajukannya pengadilan negeri jakarta selatan kegiatan sehariharinya berolahraga memantau proses persidangan berkomunikasi imbuh ian diberitakan firli ditetapkan tersangka november firli menguggat penetapan tersangka mekanisme praperadilan dapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.9287800990178999,0.035342054604209215,0.035877846377890904,megapolitan
jakarta kompascom ketua komisi pemberantasan korupsi kpk nonaktif firli bahuri hadir peringatan antikorupsi sedunia hakordia enak badankondisi badannya sehat flu kuasa hukum firli ian iskandar pengadilan negeri jakarta selatan rabu ian menyebut kliennya fokus pemulihan kondisi kesehatan firli menghabiskan beristirahat rumahbaca kuasa hukum firli bahuri hadiri sidang gugatan praperadilansekarang posisinya rumah pemulihan beliau kpk hadir iandiberitakan tersangka dugaan pemerasan eks menteri pertanian syahrul yasin limpo syl firli bahuri hadir hakordia juru bicara penindakan kelembagaan kpk ali fikri panitia hakordia mengirimkan undangan insan kpk email blast firlibaca penetapan firli bahuri tersangka sah polda metro hakim tolak gugatan praperadilannamun mantan komisaris jenderal polisi area venue istora senayan jakarta pusat acarajadi insan kpk pegawai pimpinan struktural dewas siang ketua nonaktif fb firli bahuri hadir ali ditemui awak media istora senayan jakarta pusat selasa dapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.03972917949172688,0.03921264570560202,0.9210581748026712,megapolitan
bogor kompascom hsn lansia pemilik bengkel tajurhalang bogor jawa barat diduga dianiaya tetangganyasebab tetangganya kesal jalannya terhalang mobil pengunjung bengkel memompa banlokasi bengkel hsn pinggir jalan anak korban junaedi peristiwa jumat baca anaknya korban pencabulan ibunda lihat medali sedih hati sayamemang menghalangi gang pelaku mompa sih salah negur namanya usaha mompa bengkel junaedi dihubungi wartawan rabu junaedi terduga pelaku cekcok ayahnya salah satunya mesin pompa air milik hsn dianggap menghalangi jalankemudian hsn mengalah menaruh mesin pompa rumahbeberapa kali cekcok mulut yah orangtua sih ngalah mesin air pindahin diasementara kejadian desember terduga pelaku membawa anaknya jalannya terhalangi mobil pengunjung bengkelbaca penetapan firli bahuri tersangka sah polda metro hakim tolak gugatan praperadilandia pelaku kehalangan bilang menitan cekcok mulut sebentar saksi junaedisaksi menyaksikan hsn dipukul berdarah pelipis korban dibawa rumah sakit jahitandi polres diterima dibikin laporan langsung visum rs bhayangkara brimob kelapa hasilnya barusan diwakilkan resersenya nelepon junaedibeberapa ketua rt mencoba memediasi korban terduga pelakunamun keluarga hsn memutuskan jalan damai efek jera terduga pelakubaca ammar zoni ditangkap terkait penyalahgunaan narkoba polisi tersangkacuma memutuskan jalan damai keadilan seadiladilnya efek jera pelaku pelaku memukul diaakibat penganiayaan mata hsn buram luka jahitan pelipis ditambah pendengaran hsn mengalami traumasaat dikonfirmasi terpisah kapolsek tajurhalang iptu tamar bekti reskrim polres metro depok memproses tersebutpihaknya menunggu hasil visum korban hsnkata kanit krimum polres metro depok proses tinggal nunggu hasil visum tamar rabudapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.9143935437025943,0.04199022593158938,0.0436162303658163,megapolitan
jakarta kompascom dinas kesehatan dinkes dki jakarta melaporkan tren penularan covid peningkatankepala seksi surveilans epidemiologi imunisasi dinkes dki jakarta ngabila salama covid ditemukan jakarta terakhirkasus positif covid dki jakarta desember desember desember ngabila dikonfirmasi rabu baca dishub dki pastikan pembatasan penumpang covid naikmeski ngabila kenaikan terkendali tingkat penggunaan tidur isolasipenggunaan tidur stabil persen kenaikan bermakna ngabilaberdasarkan data dinkes dki lonjakan covid jakarta november tercatat penambahan covid periode november desember baca antisipasi penularan covid warga diimbau pakai masker bepergiansementara periode desember covid ditemukan jakartamasyarakat diimbau panik tingkatkan perilaku hidup bersih sehat ngabiladapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.03265907088473558,0.9338454402559757,0.03349548885928863,megapolitan
jakarta kompascom ketua komisi pemberantasan korupsi kpk nonaktif firli bahuri hadir sidang gugatan praperadilan penetapannya tersangka dugaan pemerasan eks menteri pertanian syahrul yasin limpo syl hadir salah kuasa hukum firli ian iskandar pengadilan negeri jakarta selatan rabu ian menyebut kliennya kuasa sepenuhnya firli hadir persidanganbaca penetapan firli bahuri tersangka sah polda metro hakim tolak gugatan praperadilan ya dikasih kuasa hadir informasi batang hidung firli sidang gugatan praperadilan dihelat senin firli diwakili tim kuasa hukumnya tujuh orang ian iskandar ishemat soeria alam anis rifai dedi yusuf satria tunggara ari setiawan niti sumita marvil worotijan firli mengajukan gugatan praperadilan november penetapan tersangka pemerasan sylbaca polda metro penggeledahan apartemen sah firli bahuri tersangka menggugat kapolri jenderal listyo sigit kapolda metro jaya irjen karyoto informasi polisi memeriksa firli tersangka kali desember desember firli diduga pemerasan perkara korupsi kementerian pertanian kementan polisi mendapati barang bukti salah satunya pencatatan valuta asing senilai rp miliar saksi diperiksa inidapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.03265907088473558,0.9338454402559757,0.03349548885928863,megapolitan
jakarta kompascom orangtua melahirkan ri sm kecewa pelatih silat anaknya iwan andisebab ri korban pencabulan iwan rumah pelaku kaliini kekeluargaan coba posisi ya kecewa anak impikan atlet berprestasi pengin dijadikan gay sm ditemui rumahnya kawasan koja jakarta utara rabu selasela wawancara sm medali diraih ri kejuaraanbaca bocah lakilaki koja diduga dicabuli pelatih silatnya medali kebanyakan berwarna emas tergantung paku menancap dinding rumah sm risaya medali sedih hati sm menundukkan kepalasetelah anaknya korban sm kakaknya rumah iwan pelaku adabaca bocah lakilaki koja dilecehkan kali pelatih silatnyasampai komunikasi sm iwan terputus pesan whatsapp korban dibalas pertemanan media sosial facebook diblokir pelakuakhirnya sm melaporkan iwan polres metro jakarta utara pencabulan jumat laporan teregistrasi nomor lpbxiispktpolres metro jakutpolda metro jayabaca cerita koja lihat gelagat aneh guru silat cabuli anaknyaiwan disangkakan pasal undangundang uu nomor penetapan perpu nomor perubahan uu nomor perlindungan anak pasal kuhpsaya berharap ditangkap diganjar sesuai aturan berlaku smdia mengimbau orangtua murid terlena sikap iwanya orangtua berhatihati sih kejahatan orang terdekat lihat sayang bajingan smdapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.0422712983732659,0.9121520356637182,0.04557666596301602,megapolitan
jakarta kompascom polisi memburu pelaku memasok narkoba artis peran ammar zonihal satuan reserse narkoba polres metro jakarta barat menangkap ammar selasa pemeriksaan mengejar pemasok narkoba artis az ammar zoni kasatres narkoba polres metro jakarta barat akbp indrawienny panjiyoga mapolres metro jakarta barat rabu baca ammar zoni ditangkap terkait penyalahgunaan narkoba polisi tersangkaia ammar zoni ditangkap apartemen kawasan bsd tangerang selatan selasa malam penangkapan polisi menyita jenis narkotikakedua narkoba ganja sabu obat keras jenis hexymerammar zoni sadar ditangkap apartemen kamarnya az temukan narkotika jenis ganja sabu panjiyogapolisi menyelidiki kepemilikan apartemen ammar zoni ditangkapdihubungi terpisah kapolres metro jakarta barat kombes m syahduddi ammar zoni ditetapkan tersangkabaca ammar zoni ditangkap ketiga kalinya penyalahgunaan narkobaiya tersangka pengembangan pendalaman kasusnya syahduddi pesan singkatini ketiga kalinya artis berusia ditangkap terkait penyalahgunaan narkobadia ditangkap polres metro jakarta selatan terbukti memiliki narkotika jenis sabu berat gram maret ammar zoni resmi ditetapkan tersangka penyalahgunaan narkotika maret malamsetelah tujuh dibui ammar zoni dinyatakan bebas oktober tepatnya ammar zoni ditangkap berkait penyalahgunaan narkobadapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.9097420043807418,0.045463512558210864,0.044794483061047385,megapolitan
jakarta kompascom tim advokasi polda metro jaya penetapan ketua nonaktif komisi pemberantasan korupsi kpk firli bahuri tersangka dugaan pemerasan eks menteri pertanian syahrul yasin limpo syl sesuai prosedurhal tim advokasi polda metro jaya sidang lanjutan praperadilan pemohon firli bahuri pengadilan negeri pn jakarta selatan rabu penetapan tersangka termohon pemohon sesuai aturan hukum berlaku kesempatan izinkanlah termohon memohon mulia ketua pengadilan negeri jakarta selatan hakim tunggal memeriksa mengadili memutus perkara berkenan memutus amar putusan eksepsi kepala bidang hukum polda metro jaya kombes putu putera ruang sidangbaca polda metro penggeledahan apartemen sah firli bahuri tersangkaamar putusan eksepsi poinpertama menerima eksepsi termohon permohonan praperadilan pemohon dinyatakan diterimadi sisi pokok perkaranya putu menyebut penetapan firli tersangka dugaan pemerasan berdasarkan keterangan saksi sesuai hukummaka putu menolak gugatan firlimenyatakan sah penetapan tersangka pemohon berdasarkan surat ketetapan sxisditreskrimsus november nama tersangka drs firli bahuri msi diabaca polda metro syl laporkan dugaan pemerasan firli bahurimenyatakan menolak permohonan pra peradilan pemohon diasebelumnya kubu firli bahuri membantah eksepsi tim advokasi polda metro jayafirli hakim menolak eksepsi termohonbahwa dalil dinyatakan termohon eksepsi termohon salah kuasa hukum firli sidang agenda pembacaan replik selasa dapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.929572613668966,0.03509551643462744,0.03533186989640658,megapolitan
jakarta kompascom kapolres metro jakarta barat kombes m syahdudi artis peran ammar zoni ditetapkan tersangka ditangkap selasa ammar ditangkap apartemen kawasan bsd tangerang selatan terkait penyalahgunaan narkobaiya tersangka pengembangan pendalaman kasusnya syahduddi pesan singkat rabu baca ammar zoni ditangkap ketiga kalinya penyalahgunaan narkobasementara kasatres narkoba polres metro jakarta barat akbp indrawienny panjiyoga polisi menyita barang bukti ganja sabuselain polisi menyita obat keras jenis hexymerpolisi menyelidiki kepemilikan apartemen ammar zoni ditangkapammar zoni sadar ditangkap apartemen kamarnya az temukan narkotika jenis ganja sabu diaini ketiga kalinya ammar zoni ditangkap terkait penyalahgunaan narkobabaca ammar zoni ditangkap polisi sita ganja obat kerasdia ditangkap polres metro jakarta selatan terbukti memiliki narkotika jenis sabu berat gram maret ammar zoni resmi ditetapkan tersangka penyalahgunaan narkotika maret malamsetelah tujuh dibui ammar zoni dinyatakan bebas oktober tepatnya ammar zoni ditangkap berkait penyalahgunaan narkobadapatkan update berita pilihan breaking news kompascom mari bergabung grup telegram kompascom news update klik link httpstmekompascomupdate join install aplikasi telegram ponsel,0.9397993216936439,0.03073771618275519,0.029462962123600934,megapolitan
